"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4xeeGb5sGTcGt7BX2AHVYJ","Breakfast On Jupiter","spotify:artist:57lNR9NCINzJe0CgbUCqoL","Mojito Fusion","spotify:album:5lj47KNaVkd2PxsQfCPoIU","Eye Café Vol.3 - Lounge Compilation","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-12-06","https://i.scdn.co/image/ab67616d0000b2738100278d7bdb79349fc509e0","1","10","269333","","false","0","spotify:user:1231409117","2013-11-03T02:35:00Z"
"spotify:track:3IHvCO7wzfsCi9Z5BkrclU","Brown Sugar","spotify:artist:6AY8B18eEJCBKAibuEGAmB","Funkservice International","spotify:album:0yjHEhDwmwFXgKJH0l2djj","Jazzcollectivo Colours Of Acoustic Jazz","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005","https://i.scdn.co/image/aed997be78270bb0b9ddd94f006196e86d486dbd","1","5","293880","","false","0","spotify:user:1231409117","2014-06-18T15:06:09Z"
"spotify:track:5Rq9u1frPutc5Oi26C0mtj","Camel Ride","spotify:artist:6AY8B18eEJCBKAibuEGAmB","Funkservice International","spotify:album:4IOvlroxqbRKM1qG4Aapdn","Post Modern Life","spotify:artist:6AY8B18eEJCBKAibuEGAmB","Funkservice International","2005-04-05","https://i.scdn.co/image/ab67616d0000b273ec02a1e89c0a1cc6e0756785","1","3","231987","","false","0","spotify:user:1231409117","2014-06-18T15:06:57Z"
"spotify:track:4r5J11Vjw5NcR0nppgslbd","Feel Free","spotify:artist:2B0PgHZi2zaDqjKe86Gaip","Mr. Scruff","spotify:album:5RYsDf59JDayIrEgahMeBG","Friendly Bacteria","spotify:artist:2B0PgHZi2zaDqjKe86Gaip","Mr. Scruff","2014-05-16","https://i.scdn.co/image/ab67616d0000b2730b007566c7f466bcdddad49e","1","12","448540","","false","0","spotify:user:1231409117","2014-09-07T22:51:12Z"
"spotify:track:5mZNQ70ScAt7MFBoOUpFSV","In the Woods","spotify:artist:2jvKLLBED6JvKWtT8y3kCu","Hugo Kant","spotify:album:5f76QyEj5xUO8t1OFRhG5g","Leave Me Alone","spotify:artist:2jvKLLBED6JvKWtT8y3kCu","Hugo Kant","2013-07-01","https://i.scdn.co/image/ab67616d0000b273821a8476c68299c0a0cdc5ab","1","1","275440","","false","0","spotify:user:1231409117","2014-09-23T01:47:13Z"
"spotify:track:5O4ezHnhYywTziv52BrEaZ","In the Woods - The Herbaliser Remix","spotify:artist:2jvKLLBED6JvKWtT8y3kCu, spotify:artist:1AeYteGuRWeFyptpSz0y5b","Hugo Kant, Ghettosocks","spotify:album:5f76QyEj5xUO8t1OFRhG5g","Leave Me Alone","spotify:artist:2jvKLLBED6JvKWtT8y3kCu","Hugo Kant","2013-07-01","https://i.scdn.co/image/ab67616d0000b273821a8476c68299c0a0cdc5ab","1","3","260626","","false","0","spotify:user:1231409117","2014-09-23T01:52:53Z"
"spotify:track:1sS9xdNvkhkxtghFMTOEIX","Thou Shalt Not Kill - Radio Citizen Remix","spotify:artist:2jvKLLBED6JvKWtT8y3kCu","Hugo Kant","spotify:album:5kFB9P6YWdAcAO8Kr1OUaZ","Another Point Of Mix I","spotify:artist:2jvKLLBED6JvKWtT8y3kCu","Hugo Kant","2013-01-07","https://i.scdn.co/image/ab67616d0000b273e5634aac72a523f74a5d1d60","1","5","281722","","false","0","spotify:user:1231409117","2014-09-23T01:54:51Z"
"spotify:track:42iLHwVkDcYWeeJFjAur9e","So Why? - Cuz Remix","spotify:artist:2jvKLLBED6JvKWtT8y3kCu","Hugo Kant","spotify:album:5kFB9P6YWdAcAO8Kr1OUaZ","Another Point Of Mix I","spotify:artist:2jvKLLBED6JvKWtT8y3kCu","Hugo Kant","2013-01-07","https://i.scdn.co/image/ab67616d0000b273e5634aac72a523f74a5d1d60","1","7","293249","","false","0","spotify:user:1231409117","2014-09-23T01:55:40Z"
"spotify:track:1AkHgfaITGyOnway05oal5","5 for You and 5 for Me","spotify:artist:2jvKLLBED6JvKWtT8y3kCu","Hugo Kant","spotify:album:5mOkljZh5D8pVJvtLUVkVl","I Don't Want to Be an Emperor","spotify:artist:2jvKLLBED6JvKWtT8y3kCu","Hugo Kant","2011-06-27","https://i.scdn.co/image/ab67616d0000b27331815f0d64fff61f1ba3cdd8","1","6","281200","","false","0","spotify:user:1231409117","2014-09-23T02:28:12Z"
"spotify:track:2QE0ttxnUhF0WetYQ0amUY","Delirium","spotify:artist:2jvKLLBED6JvKWtT8y3kCu","Hugo Kant","spotify:album:5mOkljZh5D8pVJvtLUVkVl","I Don't Want to Be an Emperor","spotify:artist:2jvKLLBED6JvKWtT8y3kCu","Hugo Kant","2011-06-27","https://i.scdn.co/image/ab67616d0000b27331815f0d64fff61f1ba3cdd8","1","11","236986","","false","0","spotify:user:1231409117","2014-09-23T02:28:30Z"
"spotify:track:2OKpJWmOTKDFMt2bjB23lh","Gone Bad","spotify:artist:64nlNvqVtLkdY4x8Hhvq6T","DJ Day","spotify:album:5I6LKwPtSSAXNsA7TNqEmL","More MPM Sound","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009-12-18","https://i.scdn.co/image/ab67616d0000b273cd1f14bf5fcafd66e5b6884f","1","2","231666","","false","0","spotify:user:1231409117","2014-09-23T02:36:17Z"
"spotify:track:2t6vyw4xqIltIH0rA5fKmN","Smokers Castle","spotify:artist:2QjVv1gkLn8XkQxVndgLHF","Bill Laurance","spotify:album:5Qn4QfQbE6tpqhQRWyGUVz","Flint","spotify:artist:2QjVv1gkLn8XkQxVndgLHF","Bill Laurance","2014-05-06","https://i.scdn.co/image/ab67616d0000b2739b8bae39a505f0340a870a70","1","7","318146","","false","0","spotify:user:1231409117","2014-09-26T23:15:30Z"
"spotify:track:2fsJf3L4Kp6Nub1bhQbhL2","Can't Turn Around","spotify:artist:60R4M19QBXvs0gO4IL6CpS, spotify:artist:6dPh96zLnVMZVHnr66WRjg","The Foreign Exchange, Gwen Bunn","spotify:album:6tIdxaZ5aggJUcdvncdzW2","Love In Flying Colors","spotify:artist:60R4M19QBXvs0gO4IL6CpS","The Foreign Exchange","2013-09-24","https://i.scdn.co/image/ab67616d0000b273e0e1d1b27400f9e1cfc7c8cb","1","8","283848","","false","0","spotify:user:1231409117","2014-12-05T23:14:21Z"
"spotify:track:5MMlu5tyOGW19odkUNt9p6","Jazz Pour Une Infante Défunte","spotify:artist:5sGsy5o8hBSMmDUFTC5Q2P","KASHIWA Daisuke","spotify:album:6aoLiJgcZGrMCVCuhsll1e","Re:","spotify:artist:5sGsy5o8hBSMmDUFTC5Q2P","KASHIWA Daisuke","2012-11-24","https://i.scdn.co/image/ab67616d0000b27375f4b0052855b9be5813921b","1","4","263506","https://p.scdn.co/mp3-preview/1348e62da313bdda111ac9e4c4b76303ab1e8975?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:1231409117","2014-12-05T23:35:15Z"
"spotify:track:7KKf0Y86UGTEpUx1TpRHRu","No Jazz","spotify:artist:2jvKLLBED6JvKWtT8y3kCu","Hugo Kant","spotify:album:5mOkljZh5D8pVJvtLUVkVl","I Don't Want to Be an Emperor","spotify:artist:2jvKLLBED6JvKWtT8y3kCu","Hugo Kant","2011-06-27","https://i.scdn.co/image/ab67616d0000b27331815f0d64fff61f1ba3cdd8","1","8","257853","","false","0","spotify:user:1231409117","2014-12-05T23:35:32Z"
"spotify:track:5MMlu5tyOGW19odkUNt9p6","Jazz Pour Une Infante Défunte","spotify:artist:5sGsy5o8hBSMmDUFTC5Q2P","KASHIWA Daisuke","spotify:album:6aoLiJgcZGrMCVCuhsll1e","Re:","spotify:artist:5sGsy5o8hBSMmDUFTC5Q2P","KASHIWA Daisuke","2012-11-24","https://i.scdn.co/image/ab67616d0000b27375f4b0052855b9be5813921b","1","4","263506","https://p.scdn.co/mp3-preview/1348e62da313bdda111ac9e4c4b76303ab1e8975?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:1231409117","2014-12-05T23:36:03Z"
"spotify:track:3FHq2nFXoIGMt6zU2FxcSr","Intrusos","spotify:artist:4q8AClo6ex5N1GbUqQdZQB","La Máquina Cinemática","spotify:album:0wfTDPI2ViL2xSelLiCgwG","Música para pantallas vacías","spotify:artist:4q8AClo6ex5N1GbUqQdZQB","La Máquina Cinemática","2011-04-05","https://i.scdn.co/image/ab67616d0000b273886f0c5f2c4608270ef6c1d3","1","4","249504","https://p.scdn.co/mp3-preview/584da6fe5cafc2cf1d4349daa2aa228823c84358?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:1231409117","2014-12-05T23:36:15Z"
"spotify:track:1g7bl2LDCom7jtX2EmHRSF","Flite","spotify:artist:32ogthv0BdaSMPml02X9YB","The Cinematic Orchestra","spotify:album:1EUXHvyflL27HwOTQgaVuh","Every Day","spotify:artist:32ogthv0BdaSMPml02X9YB","The Cinematic Orchestra","2002-05-13","https://i.scdn.co/image/ab67616d0000b273d2a761a90fb7ca422398f0cf","1","3","395706","https://p.scdn.co/mp3-preview/f90e22192388007e29c4e6290baaa00d7f5bf539?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:1231409117","2014-12-05T23:36:45Z"
"spotify:track:4DogOHSPQ3WcloPvGBemTl","City of Glass","spotify:artist:7sYipTRgDXS2JVOPEhRutx","Portico Quartet","spotify:album:2Y83b1uzgf5pDfQHdFKgjm","Portico Quartet","spotify:artist:7sYipTRgDXS2JVOPEhRutx","Portico Quartet","2012-01-30","https://i.scdn.co/image/ab67616d0000b2735be277f8088af91c50da0f2c","1","9","396013","","false","0","spotify:user:1231409117","2014-12-19T23:14:47Z"
"spotify:track:7Cg3F9ZsZ2TYUnlza49NYh","Kong","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:5m1RkwKeU7MV0Ni6PH2lPy","Black Sands","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2010-03-29","https://i.scdn.co/image/ab67616d0000b2737da6d6787071a97593cfbcee","1","3","237826","https://p.scdn.co/mp3-preview/f65529e628f986f0113d82737059710df9f96528?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:1231409117","2015-01-12T09:37:58Z"
"spotify:track:5ZRqgQ81mpy7zBD23MDRTJ","Little Indian","spotify:artist:2r1f1zkIjuQ7ETeJHsXpsc","Nils Petter Molvær","spotify:album:4J2kbR62hPd9tipmZ0R4Hj","Streamer","spotify:artist:2r1f1zkIjuQ7ETeJHsXpsc","Nils Petter Molvær","2004-06-09","https://i.scdn.co/image/ab67616d0000b2738cda24478038b00097ce79f3","1","3","284026","https://p.scdn.co/mp3-preview/f6e3b6893fc82b941ee8264fbe836e7033d031d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:1231409117","2015-01-12T09:38:35Z"
"spotify:track:4s4d01dVv1DBSwkytKIfuW","Yeti's Lament","spotify:artist:5I7n9qoy56ibexYfrF9ZEL","Berry Weight","spotify:album:4oO3o4VwadX8bygjTRpTco","Music for Imaginary Movies","spotify:artist:5I7n9qoy56ibexYfrF9ZEL","Berry Weight","2010-01-19","https://i.scdn.co/image/ab67616d0000b273ba51266a5b599d15ae8a070f","1","1","210782","","false","0","spotify:user:1231409117","2015-01-12T09:38:52Z"
"spotify:track:3aBgBJnVDjap01AApf7l67","Sports, Not Heavy Crime","spotify:artist:0azLE0hIUlbMbV0g2Ezt9m","Xploding Plastix","spotify:album:2mfHFdtv9xf4NVsmbGWhcx","Amateur Girlfriends Go Proskirt Agents","spotify:artist:0azLE0hIUlbMbV0g2Ezt9m","Xploding Plastix","2002-05-28","https://i.scdn.co/image/ab67616d0000b273ec0fa2d775b8093b163efeac","1","1","307095","","false","0","spotify:user:1231409117","2015-01-12T09:39:16Z"
"spotify:track:1DCnoOCa8pusNZ2rzrXkZB","Seven Hunters - Dam Mantle Mix","spotify:artist:4Rj2COYs5hQsw8rYIxSviz","Hidden Orchestra","spotify:album:1nTnSudqDGdospL3OFqFgI","Archipelago Remixes Part 2","spotify:artist:4Rj2COYs5hQsw8rYIxSviz","Hidden Orchestra","2014-05-27","https://i.scdn.co/image/ab67616d0000b273fcba01ceca09bef2eaf21b82","1","1","450591","","false","0","spotify:user:1231409117","2015-01-12T09:39:39Z"
"spotify:track:0xFEbVG3r0NHbc6nfadQyx","Last Home","spotify:artist:5otYi67C7LuemeGm2yIA3R","Typesun","spotify:album:6xhvKLqL1Ax4vga5t4rtwD","Late Night Tales Presents AFTER DARK : Nightshift","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-07-04","https://i.scdn.co/image/ab67616d0000b27309239269b28f2e407d1e4d5c","1","2","280276","","false","0","spotify:user:1231409117","2015-01-12T09:40:10Z"
"spotify:track:6PBj9GSp5KUnlE6oQ5PH5X","Salvadanio","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","spotify:album:1JshXij3WjdXeSFgQ6ionc","Simple EP","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","2014-05-05","https://i.scdn.co/image/ab67616d0000b273c8f4d48cc096191942d55ca3","1","2","234573","https://p.scdn.co/mp3-preview/59e6035dc6cdac17f1715b126dd6c91179fea5c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:1231409117","2015-01-12T09:40:24Z"
"spotify:track:2fEHEsz1jjtUB56Pg7MKlz","Fourth Wall","spotify:artist:4Rj2COYs5hQsw8rYIxSviz","Hidden Orchestra","spotify:album:3J1D4chGQTWMLs51zZn8q6","Fourth Wall / The Revival","spotify:artist:4Rj2COYs5hQsw8rYIxSviz","Hidden Orchestra","2013-02-22","https://i.scdn.co/image/ab67616d0000b2733a5cb425bc465e5d9d2271a1","1","1","239466","","false","0","spotify:user:1231409117","2015-01-12T09:43:13Z"
"spotify:track:3iNiESN4cEqYfYkra3ea82","Cirrus","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:6B6cN1gyobgdGESQ1RSjix","The North Borders","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2013-03-21","https://i.scdn.co/image/ab67616d0000b273c6d9a2416e73504bea46890e","1","3","349210","","false","0","spotify:user:1231409117","2015-01-12T09:43:34Z"
"spotify:track:3BuMIuYew5zvhp60g2fZsU","Suzuki","spotify:artist:0TYvluyvV1Es8lTHiBfnAn","Tosca","spotify:album:1iagXM3V3prSV49CXuy760","Suzuki","spotify:artist:0TYvluyvV1Es8lTHiBfnAn","Tosca","2000","https://i.scdn.co/image/ab67616d0000b273fc6268663e30f2c4f503189e","1","2","364453","","false","0","spotify:user:1231409117","2015-01-12T09:44:02Z"
"spotify:track:1ycDi07x89xGsfRGjoyRFb","Soul for Sahib","spotify:artist:7wyBxBXLVLaiF2jxHCpvTe","Koop","spotify:album:2yDVQGO11sR2YI7YrCM3wb","Waltz for Koop","spotify:artist:7wyBxBXLVLaiF2jxHCpvTe","Koop","2003","https://i.scdn.co/image/ab67616d0000b273ddd52014b151b5f57bf6afb4","1","5","217826","","false","0","spotify:user:1231409117","2015-01-12T09:44:32Z"
"spotify:track:7mCMxs4umoVi5xqZETv0CR","We Could Forever","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:3DYh52KdBhnAa4CZoj4gqN","Black Sands","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2010-03-29","https://i.scdn.co/image/ab67616d0000b2730fe3beb42c5e6a4c219f0bce","1","6","259839","","false","0","spotify:user:1231409117","2015-01-12T09:46:00Z"
"spotify:track:3TeDcwlWPK3DWL7lrhPHly","Recurring","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:0QfU66KkYAZVWlGSwStQDw","Days To Come","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2006-10-02","https://i.scdn.co/image/ab67616d0000b273940d01f96c266d9ac37da26e","1","11","306666","","false","0","spotify:user:1231409117","2015-01-12T09:46:48Z"
"spotify:track:488E8BWYDCDrL6vunOAzPy","Lebanese Blonde","spotify:artist:25KNo5GDS6ZpLkjasaecA3","Thievery Corporation","spotify:album:12PENKuzKH3r1Kv2rlCjZn","The Mirror Conspiracy","spotify:artist:25KNo5GDS6ZpLkjasaecA3","Thievery Corporation","2000","https://i.scdn.co/image/ab67616d0000b273ddb70c1ac0c06bf85f50836e","1","4","290826","","false","24","spotify:user:1231409117","2015-01-12T09:48:51Z"
"spotify:track:3TeDcwlWPK3DWL7lrhPHly","Recurring","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:0QfU66KkYAZVWlGSwStQDw","Days To Come","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2006-10-02","https://i.scdn.co/image/ab67616d0000b273940d01f96c266d9ac37da26e","1","11","306666","","false","0","spotify:user:1231409117","2015-01-12T09:50:13Z"
"spotify:track:1Y03wXsnPUv2gxDvVez4Yh","Ten Tigers","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:6B6cN1gyobgdGESQ1RSjix","The North Borders","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2013-03-21","https://i.scdn.co/image/ab67616d0000b273c6d9a2416e73504bea46890e","1","11","243780","","false","0","spotify:user:1231409117","2015-01-12T09:50:26Z"
"spotify:track:1MvG1vrfmLuW558hWvDhL6","Flight","spotify:artist:4Rj2COYs5hQsw8rYIxSviz","Hidden Orchestra","spotify:album:05EKAh2enH4uuFwDmVcbKG","Archipelago","spotify:artist:4Rj2COYs5hQsw8rYIxSviz","Hidden Orchestra","2012-10-01","https://i.scdn.co/image/ab67616d0000b273bacf0b8c159df3d91a93f75b","1","3","467240","https://p.scdn.co/mp3-preview/fe435cd9a496a6e83afe04a632603160824b1b41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:1231409117","2015-01-12T09:51:29Z"
"spotify:track:6mU5mgFRObxMngiho5f7i0","Mango di Bango","spotify:artist:0TYvluyvV1Es8lTHiBfnAn","Tosca","spotify:album:7BVcfNPUhT5MadlXLhkh40","Dehli 9","spotify:artist:0TYvluyvV1Es8lTHiBfnAn","Tosca","2003-02-24","https://i.scdn.co/image/ab67616d0000b27383c1a392446ccf24f7b9c718","1","4","377626","","false","0","spotify:user:1231409117","2015-01-12T09:52:28Z"
"spotify:track:5F6lasOgV8imPcJ0M5bY6m","Carnivores Unite","spotify:artist:7bHm3B3jJju0q9FUdOgp3b","Blockhead","spotify:album:4hvLCjVyPIrgzhDcCbNWMb","Music By Cavelight","spotify:artist:7bHm3B3jJju0q9FUdOgp3b","Blockhead","2004-03-09","https://i.scdn.co/image/ab67616d0000b2732cd9aa218fe3c5cf5669ef30","1","2","285986","","false","0","spotify:user:1231409117","2015-01-12T12:19:43Z"
"spotify:track:2SNQiVYlU6ncwNZo7FMmPK","Plastic Love Memory (No.Nine)","spotify:artist:0WLS16S6MJvMgWXrUezleN","De-Phazz","spotify:album:7ozFkQh3IGppZTRFyXOQ7P","Ibiza After Party Vol 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2004-08-30","https://i.scdn.co/image/ab67616d0000b273bcc27f57957ff102841547bb","1","2","105613","","false","0","spotify:user:1231409117","2015-01-24T01:10:46Z"
"spotify:track:6bUmhrvi87ZvFPRSVXdGmU","60's Mood","spotify:artist:0sftfLIcRodYlLMcGvJVhO","Deco'","spotify:album:4Y5GzN0ss3st2R21QQqcnM","So Beautiful","spotify:artist:0sftfLIcRodYlLMcGvJVhO","Deco'","2006-11-21","https://i.scdn.co/image/ab67616d0000b2737a32603abb0f62e59c9f63a7","1","6","250253","https://p.scdn.co/mp3-preview/8fa530982c73e34c1d9437e0e2a21f83df2dce22?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:1231409117","2015-01-24T01:11:11Z"
"spotify:track:4VuPJ7O0JJB4Rg51wPC1nn","Wave / Mother Nature's Son","spotify:artist:2vI9KFm0fwSfPrpEgOeIbq","Brad Mehldau","spotify:album:7i4wN3UGvFhr663Hpjgscx","Largo","spotify:artist:2vI9KFm0fwSfPrpEgOeIbq","Brad Mehldau","2002-08-13","https://i.scdn.co/image/ab67616d0000b273a4c3e2ce4bb985d6c4a28f64","1","11","388813","https://p.scdn.co/mp3-preview/7fe232f041c989cdad4325404971b56c9bc7a864?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:1231409117","2015-02-01T00:09:19Z"
"spotify:track:2QIPMU16LB2G188EQXbwD4","El Son","spotify:artist:1RmiIFGUwl4GpgZhqzy0gs","Sci-Clone","spotify:album:3wQFJWQaL12WfXPnxQJP9h","Reinforced Presents Enforcers Deadly Chambers Of Sound","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2008-10-20","https://i.scdn.co/image/ab67616d0000b273affb07441e66bdcfdab0c504","1","10","501200","https://p.scdn.co/mp3-preview/e994257f4e5cb33913fbe268244b78a3de5be799?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","spotify:user:1231409117","2015-02-02T04:11:37Z"
"spotify:track:79f0LYscxfaYqhZLDc45J7","Temptation & Seduction","spotify:artist:2UDhkb6kXTKClj21eC4RvQ","JEN meets Can7","spotify:album:2ZqFEzEqL0CC7hR8vfg8ex","Brazilution (5.8)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2008-11-28","https://i.scdn.co/image/ab67616d0000b273b582dde29640ddbb3cb321d1","1","25","297240","","false","0","spotify:user:1231409117","2015-02-02T04:51:57Z"
"spotify:track:3xXTJcViSMCZBnm8IoOe6R","Treat Me Mean, I Need The Reputation","spotify:artist:0azLE0hIUlbMbV0g2Ezt9m","Xploding Plastix","spotify:album:2mfHFdtv9xf4NVsmbGWhcx","Amateur Girlfriends Go Proskirt Agents","spotify:artist:0azLE0hIUlbMbV0g2Ezt9m","Xploding Plastix","2002-05-28","https://i.scdn.co/image/ab67616d0000b273ec0fa2d775b8093b163efeac","1","6","298187","","false","0","spotify:user:1231409117","2015-05-31T08:52:18Z"
"spotify:track:4vdQDBZBZq2FenMU1terjN","Prolo","spotify:artist:0TYvluyvV1Es8lTHiBfnAn","Tosca","spotify:album:21tLnxqdlI6bDrC7N89hLV","Prolo","spotify:artist:0TYvluyvV1Es8lTHiBfnAn","Tosca","2007-11-12","https://i.scdn.co/image/ab67616d0000b273aad765ff714c86e5af9d1864","1","1","347600","","false","0","spotify:user:1231409117","2015-07-24T21:56:57Z"
"spotify:track:5ljGYH0M5rWiX4rOktAddu","Ponta Rosa","spotify:artist:5rMgBsf8Uemm3q7ReOLx2U","Madrid De Los Austrias","spotify:album:2pqXhPRWPpsKtOxYhUzwAx","Sport EP","spotify:artist:5rMgBsf8Uemm3q7ReOLx2U","Madrid De Los Austrias","2001-01-01","https://i.scdn.co/image/ab67616d0000b2738d202e91ea7e9ba9c5c6b825","1","1","329151","","false","0","spotify:user:1231409117","2015-07-25T13:35:33Z"
"spotify:track:6N3g7nE4CAbqSEzuMU1li0","Reckoner - Live At Capitol Studios / 2014","spotify:artist:5cM1PvItlR21WUyBnsdMcn","Robert Glasper","spotify:album:3Uo7aaDUYPAEErfOzdwfyu","Covered (The Robert Glasper Trio Recorded Live At Capitol Studios)","spotify:artist:5cM1PvItlR21WUyBnsdMcn","Robert Glasper","2015-06-12","https://i.scdn.co/image/ab67616d0000b2730eca10693461592aa505a037","1","3","307009","","false","0","spotify:user:1231409117","2015-08-02T23:17:17Z"
"spotify:track:1SGBUUD2KBak3ll5BIEfBz","Funnybones & Lazylegs","spotify:artist:0azLE0hIUlbMbV0g2Ezt9m","Xploding Plastix","spotify:album:2mfHFdtv9xf4NVsmbGWhcx","Amateur Girlfriends Go Proskirt Agents","spotify:artist:0azLE0hIUlbMbV0g2Ezt9m","Xploding Plastix","2002-05-28","https://i.scdn.co/image/ab67616d0000b273ec0fa2d775b8093b163efeac","1","2","288313","","false","0","spotify:user:1231409117","2015-08-06T03:42:16Z"
"spotify:track:490baoxiUfiBvyzef6S0HA","Can You Feel It","spotify:artist:2P6eNeUaGV6mKjzqEHduLh","Christian Prommer's Drumlesson","spotify:album:40tVhW6kIzojtGZy6Yovow","Drum Lesson Vol. 1","spotify:artist:2P6eNeUaGV6mKjzqEHduLh","Christian Prommer's Drumlesson","2009-10-01","https://i.scdn.co/image/ab67616d0000b27353812033bc759fa126047305","1","2","344360","","false","0","spotify:user:1231409117","2015-08-06T04:17:14Z"
"spotify:track:4CsgqU3N4iYN64qASAJDDp","Airlock Homes","spotify:artist:2wss0kNi7zdZTrxnCFxSQW","Fila Brazillia","spotify:album:2JfqhHAFH5tsNBPcSxYaKA","A Touch of Cloth","spotify:artist:2wss0kNi7zdZTrxnCFxSQW","Fila Brazillia","1999","https://i.scdn.co/image/ab67616d0000b27348b103e49a96f4a89c3d1421","1","2","257560","https://p.scdn.co/mp3-preview/989d095cfdccb7f05a1a89a435306eaff7d8d51a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:1231409117","2015-08-06T06:48:03Z"
"spotify:track:24jteZHwG0rx7lhAohqnqc","Ridden Pony","spotify:artist:2wss0kNi7zdZTrxnCFxSQW","Fila Brazillia","spotify:album:2JfqhHAFH5tsNBPcSxYaKA","A Touch of Cloth","spotify:artist:2wss0kNi7zdZTrxnCFxSQW","Fila Brazillia","1999","https://i.scdn.co/image/ab67616d0000b27348b103e49a96f4a89c3d1421","1","3","198840","https://p.scdn.co/mp3-preview/d5ffa47030ab7d53fff81d9c16e6f13653cfad66?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:1231409117","2015-08-06T06:48:40Z"
"spotify:track:1fOqe4WoDrRP52Lro5KMut","Slow Light","spotify:artist:2wss0kNi7zdZTrxnCFxSQW","Fila Brazillia","spotify:album:2JfqhHAFH5tsNBPcSxYaKA","A Touch of Cloth","spotify:artist:2wss0kNi7zdZTrxnCFxSQW","Fila Brazillia","1999","https://i.scdn.co/image/ab67616d0000b27348b103e49a96f4a89c3d1421","1","4","259760","https://p.scdn.co/mp3-preview/c0fb32063766814280d1cedf2a87997829112672?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:1231409117","2015-08-06T06:49:02Z"
"spotify:track:5lyLXxrds3FHd4o7RXQN0L","Trivia","spotify:artist:2wss0kNi7zdZTrxnCFxSQW","Fila Brazillia","spotify:album:2JfqhHAFH5tsNBPcSxYaKA","A Touch of Cloth","spotify:artist:2wss0kNi7zdZTrxnCFxSQW","Fila Brazillia","1999","https://i.scdn.co/image/ab67616d0000b27348b103e49a96f4a89c3d1421","1","8","233760","https://p.scdn.co/mp3-preview/773a9002588e5101df4bdb1573fcfc2fd1f5fe8c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:1231409117","2015-08-06T06:56:32Z"
"spotify:track:7gTTd1DsZaSZhqoLoCgajz","La répétition","spotify:artist:13hKwJWXAVm2hYLiJbM69R, spotify:artist:0CUvJzhxLqPRd3xMxwsoxp","Baptiste Trotignon, Minino Garay","spotify:album:0elGtNkCkKpGjDnSA6uDpc","Song, song, song","spotify:artist:13hKwJWXAVm2hYLiJbM69R","Baptiste Trotignon","2012-09-24","https://i.scdn.co/image/ab67616d0000b2735755151668925f5d0c4fead0","1","1","161720","","false","0","spotify:user:1231409117","2015-08-16T12:30:38Z"
